Time_Index,res_hydro_1,natural_gas_2,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,fixed_offshore_wind_2,float_offshore_wind_2,battery_2,ror_hydro_2,pumped_hydro_2,fusion_2,perfect_gen,newBESS_2,fusion_new_2
232,0.262,1,1,0.109203,0.062581719,0.057541581,0.1726,0.1106,0.1106,1,0.552743642,1,1,1,1,1
233,0.262,1,1,0.008405,0.004816712,0.004428788,0.2655,0.4909,0.4909,1,0.552743642,1,1,1,1,1
234,0.262,1,1,0,0,0,0.1583,0.0838,0.0838,1,0.552743642,1,1,1,1,1
235,0.262,1,1,0,0,0,0.2191,0.0392,0.0392,1,0.552743642,1,1,1,1,1
236,0.262,1,1,0,0,0,0.3807,0.2465,0.2465,1,0.552743642,1,1,1,1,1
237,0.262,1,1,0,0,0,0.1236,0.3484,0.3484,1,0.552743642,1,1,1,1,1
238,0.262,1,1,0,0,0,0.4731,0.2193,0.2193,1,0.552743642,1,1,1,1,1
239,0.262,1,1,0,0,0,0.5677,0.4709,0.4709,1,0.552743642,1,1,1,1,1
240,0.262,1,1,0,0,0,0.1272,0.477,0.477,1,0.552743642,1,1,1,1,1
241,0.262,1,1,0,0,0,0.2864,0.5084,0.5084,1,0.552743642,1,1,1,1,1
242,0.262,1,1,0,0,0,0.3031,0.1342,0.1342,1,0.552743642,1,1,1,1,1
243,0.262,1,1,0,0,0,0.6189,0.4965,0.4965,1,0.552743642,1,1,1,1,1
244,0.262,1,1,0,0,0,0.518,0.626,0.626,1,0.552743642,1,1,1,1,1
245,0.262,1,1,0,0,0,0.6128,0.5881,0.5881,1,0.552743642,1,1,1,1,1
246,0.262,1,1,0,0,0,0.1981,0.1154,0.1154,1,0.552743642,1,1,1,1,1
